Altium Designer Pick and Place Locations
C:\Users\Public\Documents\GitHub\Air-Qulity-monitor\air qulity Small1\Project Outputs for Free Documents\Pick Place\Pick Place for air qulity monitor with air purifire.txt

========================================================================================================================
File Design Information:

Date:       19/12/22
Time:       17:00
Revision:   3182c3284aca4c8e50242b16f42651e51bdeb5a8
Variant:    No variations
Units used: mm

Designator Comment                         Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                            
U1         HLK-10M05                       TopLayer    FP-HLK-10M05-MFG         64.3890      101.3460     90       "10W Ultra-Compact Power Module"                                                                                                                       
SSD1306    Display                         TopLayer    HDR1X4                   89.4080      124.8410     180      "Header, 4-Pin"                                                                                                                                        
S1         SK-3245S-L1-A                   TopLayer    SK3245SL1A               120.3960     82.1170      180      "Toggle switch, horizontal stick two gears 3 feet, double row of high temperature salt fog resistance 24 hours,9.0x3.5x3.2, black handle height 2.0mm" 
R6         RC0603FR-073K3L                 TopLayer    RESC1608X55X25ML10T15    102.8820     90.0430      0        "Chip Resistor, 3.3 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                     
R5         10kO                            TopLayer    RESC1005X40X25LL05T10    101.2130     117.6020     0        "62.5mW 50V ±100ppm/? ±1% -55?~+155? 10kO 0402 Chip Resistor - Surface Mount ROHS"                                                                     
R4         10kO                            TopLayer    RESC1005X40X25LL05T10    101.4730     123.5710     0        "62.5mW 50V ±100ppm/? ±1% -55?~+155? 10kO 0402 Chip Resistor - Surface Mount ROHS"                                                                     
R3         0R                              TopLayer    FP-RC0402-0_4-IPC_A      84.5820      115.0326     270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                                      
R2         0R                              TopLayer    FP-RC0402-0_4-IPC_A      93.8236      100.0760     180      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                                      
R1         0R                              TopLayer    FP-RC0402-0_4-IPC_A      91.2836      96.0120      0        "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                                      
Q1         2SC1384-TA                      TopLayer    2SC1384-TA               97.9170      86.8680      90       "Bipolar Transistors - BJT NPN Si Transistor Epitaxial"                                                                                                
PMS5003    "PMS5003 PM2.5 Sensor"          TopLayer    PMS5003_PM2.5_Sensor     116.8400     121.1580     90       ""                                                                                                                                                     
P9         "5V FAN Header 2"               TopLayer    HDR1X2                   102.6160     85.2170      270      "Header, 2-Pin"                                                                                                                                        
P8         "MQ131 sensor Header"           TopLayer    HDR1X4                   126.8730     93.4720      90       "Header, 4-Pin"                                                                                                                                        
P7         "MQ7 sensor Header"             TopLayer    HDR1X4                   126.8730     116.3320     270      "Header, 4-Pin"                                                                                                                                        
P6         "ZE08-CH2O sensor Header"       TopLayer    HDR1X4                   100.5840     111.1250     270      "Header, 4-Pin"                                                                                                                                        
P5         "SGP30 Sensor Header"           TopLayer    HDR1X4                   110.7440     94.7420      270      "Header, 4-Pin"                                                                                                                                        
P4         "Si7021 Sensor Header"          TopLayer    HDR1X4                   111.7600     109.7280     270      "Header, 4-Pin"                                                                                                                                        
P3         "Header 3"                      TopLayer    HDR1X3                   85.4710      101.3460     270      "Header, 3-Pin"                                                                                                                                        
P2         "uv lamp connect pin Header 2"  TopLayer    HDR1X2                   44.8310      77.4700      360      "Header, 2-Pin"                                                                                                                                        
P1         "AC Current suppy pin Header 2" TopLayer    HDR1X2                   38.1000      77.4700      360      "Header, 2-Pin"                                                                                                                                        
